                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.25357,                0.19224,                 0.7661,                0.55436,                0.30029,                 0.3528,                 0.2937,                0.74187,                  2.202,                0.82541,                0.00703,                0.00703,                0.00703
                    153,                0.25401,                0.19054,                0.76746,                0.56519,                0.31135,                0.35741,                0.30008,                0.74202,                  2.208,                0.82701,              0.0070102,              0.0070102,              0.0070102
                    154,                0.25598,                0.19544,                0.76558,                0.58609,                0.31039,                0.36099,                0.30335,                0.74614,                 2.2055,                0.82521,              0.0069904,              0.0069904,              0.0069904
                    155,                0.25003,                0.18564,                0.76699,                0.54199,                0.29407,                0.35888,                0.30126,                0.73952,                 2.1574,                0.82792,              0.0069706,              0.0069706,              0.0069706
                    156,                0.25239,                0.18729,                0.76655,                0.56034,                0.31027,                0.36467,                0.30418,                0.74319,                 2.1514,                0.82375,              0.0069508,              0.0069508,              0.0069508
                    157,                 0.2495,                 0.1921,                0.76466,                 0.5664,                0.29921,                0.33704,                0.28764,                0.73591,                 2.1772,                 0.8245,               0.006931,               0.006931,               0.006931
                    158,                 0.2481,                 0.1874,                0.76584,                 0.5321,                 0.3059,                0.34535,                0.29048,                0.73854,                 2.1962,                0.82467,              0.0069112,              0.0069112,              0.0069112
                    159,                0.24354,                0.18505,                0.76644,                0.51577,                0.27757,                0.33933,                0.28486,                0.74839,                 2.2108,                0.82661,              0.0068914,              0.0068914,              0.0068914
                    160,                0.24643,                0.18586,                0.76486,                0.54573,                0.28881,                0.35065,                0.29279,                0.74249,                 2.1315,                0.82461,              0.0068716,              0.0068716,              0.0068716
                    161,                 0.2519,                0.18699,                0.76514,                0.55072,                 0.2918,                0.35227,                  0.295,                0.74453,                 2.1342,                0.82523,              0.0068518,              0.0068518,              0.0068518
                    162,                0.25085,                0.18451,                0.76485,                0.51896,                0.31248,                0.35402,                0.29718,                0.73584,                 2.1644,                0.82766,               0.006832,               0.006832,               0.006832
                    163,                 0.2445,                0.18267,                0.76579,                0.57415,                0.29249,                0.33171,                 0.2756,                0.73803,                 2.2563,                0.82506,              0.0068122,              0.0068122,              0.0068122
                    164,                0.24503,                 0.1849,                 0.7639,                0.57995,                 0.3029,                  0.341,                 0.2853,                0.74162,                 2.2617,                0.82522,              0.0067924,              0.0067924,              0.0067924
                    165,                0.23868,                0.17737,                0.76454,                0.55383,                0.28741,                0.33725,                0.28297,                0.73672,                 2.2334,                0.82287,              0.0067726,              0.0067726,              0.0067726
                    166,                0.24955,                0.18227,                 0.7651,                0.52849,                0.27838,                0.33961,                0.28434,                0.75184,                 2.2611,                 0.8296,              0.0067528,              0.0067528,              0.0067528
                    167,                0.24578,                0.18194,                0.76441,                0.57132,                0.27869,                0.32951,                0.27682,                0.73382,                 2.1984,                0.82697,               0.006733,               0.006733,               0.006733
                    168,                0.24409,                0.18085,                0.76494,                0.52902,                 0.2945,                0.34383,                0.29053,                0.73227,                 2.1657,                0.82634,              0.0067132,              0.0067132,              0.0067132
                    169,                0.24449,                0.18473,                0.76397,                0.53637,                 0.2871,                0.33944,                0.28823,                0.72688,                 2.1734,                0.82313,              0.0066934,              0.0066934,              0.0066934
                    170,                0.24082,                0.18583,                0.76368,                0.53733,                0.29308,                0.34515,                0.28916,                0.73447,                 2.1888,                0.82409,              0.0066736,              0.0066736,              0.0066736
                    171,                0.24142,                0.18103,                0.76558,                0.52933,                0.29335,                0.36202,                0.30666,                0.73819,                 2.1375,                0.82583,              0.0066538,              0.0066538,              0.0066538
                    172,                0.24146,                0.17738,                0.76453,                0.57115,                0.31682,                0.35913,                 0.3047,                0.74095,                 2.1246,                0.82331,               0.006634,               0.006634,               0.006634
                    173,                0.23773,                0.17711,                0.76425,                0.50175,                0.27543,                0.34412,                0.29162,                0.73414,                  2.157,                0.82325,              0.0066142,              0.0066142,              0.0066142
                    174,                0.24062,                0.18239,                0.76481,                0.56085,                0.27184,                0.34666,                0.29373,                0.74498,                  2.239,                0.82379,              0.0065944,              0.0065944,              0.0065944
                    175,                0.24104,                0.18078,                0.76468,                0.55234,                0.27837,                 0.3312,                 0.2811,                0.73743,                 2.2272,                0.82295,              0.0065746,              0.0065746,              0.0065746
                    176,                0.24037,                0.17802,                0.76458,                0.53499,                0.30511,                0.35618,                0.29984,                 0.7408,                 2.1871,                0.82811,              0.0065548,              0.0065548,              0.0065548
                    177,                0.24025,                 0.1798,                0.76534,                0.56586,                0.29734,                0.36649,                0.30912,                0.73399,                 2.1582,                0.82731,               0.006535,               0.006535,               0.006535
                    178,                0.24111,                0.17783,                0.76581,                0.58132,                0.28522,                0.34435,                 0.2901,                 0.7398,                  2.243,                0.82753,              0.0065152,              0.0065152,              0.0065152
                    179,                0.23742,                0.17138,                0.76371,                0.55099,                0.28626,                0.35029,                 0.2955,                0.71419,                 2.1987,                0.82416,              0.0064954,              0.0064954,              0.0064954
                    180,                0.23653,                0.17785,                0.76291,                 0.5477,                0.28201,                0.34035,                0.29116,                0.73345,                 2.2049,                0.82764,              0.0064756,              0.0064756,              0.0064756
                    181,                0.23673,                0.17441,                0.76477,                0.52528,                0.29453,                0.34608,                0.29592,                0.73228,                 2.2155,                0.82711,              0.0064558,              0.0064558,              0.0064558
                    182,                0.23809,                0.17374,                0.76337,                0.56186,                0.28712,                0.33911,                0.28966,                 0.7429,                 2.2135,                0.82519,               0.006436,               0.006436,               0.006436
                    183,                0.23481,                0.17335,                0.76265,                0.56889,                0.30977,                0.34464,                0.28798,                0.73796,                  2.207,                0.82685,              0.0064162,              0.0064162,              0.0064162
                    184,                0.24081,                0.18205,                 0.7634,                0.57678,                0.28363,                0.34195,                0.28898,                0.73812,                 2.2384,                 0.8258,              0.0063964,              0.0063964,              0.0063964
                    185,                0.23347,                0.17629,                0.76416,                0.54682,                0.27897,                0.33603,                0.28491,                0.73165,                  2.261,                0.82586,              0.0063766,              0.0063766,              0.0063766
                    186,                0.22577,                0.17285,                0.76546,                0.54574,                0.28551,                0.33896,                0.28746,                0.73686,                 2.2621,                0.82671,              0.0063568,              0.0063568,              0.0063568
                    187,                0.23113,                0.17273,                0.76341,                0.53707,                0.29686,                0.34147,                0.28719,                0.73068,                 2.2157,                0.82422,               0.006337,               0.006337,               0.006337
                    188,                0.23617,                0.17718,                0.76356,                0.52025,                0.29006,                0.34152,                0.28941,                0.73564,                 2.2748,                0.82469,              0.0063172,              0.0063172,              0.0063172
                    189,                0.22804,                0.17156,                0.76306,                0.55436,                0.28707,                 0.3243,                0.27598,                0.74054,                 2.2599,                0.82573,              0.0062974,              0.0062974,              0.0062974
                    190,                0.23007,                   0.17,                0.76187,                0.54222,                0.27404,                0.32604,                0.27524,                0.73403,                 2.2463,                0.82528,              0.0062776,              0.0062776,              0.0062776
                    191,                0.23063,                0.17242,                0.76431,                0.58094,                0.28435,                0.33464,                0.28362,                0.73195,                 2.2059,                 0.8237,              0.0062578,              0.0062578,              0.0062578
                    192,                0.23178,                 0.1707,                0.76477,                0.57686,                 0.2823,                0.32749,                0.27706,                0.74112,                 2.2432,                0.82712,               0.006238,               0.006238,               0.006238
                    193,                0.22688,                0.16965,                0.76397,                0.54178,                0.28919,                0.33976,                0.28618,                0.72744,                 2.2298,                0.82407,              0.0062182,              0.0062182,              0.0062182
                    194,                0.22435,                0.16797,                0.76373,                0.55326,                 0.2815,                0.34487,                0.29099,                0.72808,                 2.2346,                0.82237,              0.0061984,              0.0061984,              0.0061984
                    195,                0.22804,                0.17109,                 0.7635,                0.31861,                0.46101,                0.34792,                0.29424,                0.73352,                 2.2852,                0.82357,              0.0061786,              0.0061786,              0.0061786
                    196,                0.22672,                0.16867,                0.76545,                0.55973,                0.27342,                0.34059,                 0.2844,                0.73061,                 2.2739,                0.82256,              0.0061588,              0.0061588,              0.0061588
                    197,                0.22648,                0.17131,                0.76301,                0.53853,                0.28714,                 0.3308,                0.27754,                0.73077,                 2.1986,                0.81942,               0.006139,               0.006139,               0.006139
                    198,                0.22369,                0.16792,                0.76346,                0.55399,                0.29193,                0.35246,                0.29504,                0.72677,                   2.21,                0.82074,              0.0061192,              0.0061192,              0.0061192
                    199,                0.22765,                0.16509,                0.76409,                0.59335,                0.26714,                0.34232,                0.28645,                0.73357,                 2.3283,                0.82269,              0.0060994,              0.0060994,              0.0060994
                    200,                0.22636,                0.16781,                0.76466,                 0.5433,                0.27988,                0.33036,                0.27883,                0.73799,                 2.2812,                0.82179,              0.0060796,              0.0060796,              0.0060796
                    201,                0.22628,                0.16607,                 0.7632,                0.54492,                0.27526,                0.33092,                0.27988,                0.72556,                  2.223,                0.82118,              0.0060598,              0.0060598,              0.0060598
                    202,                0.22459,                 0.1606,                0.76384,                0.54139,                0.27558,                0.33677,                0.28656,                0.73044,                 2.2543,                0.82302,                0.00604,                0.00604,                0.00604
                    203,                0.22436,                0.16559,                0.76277,                0.56003,                0.29369,                0.32745,                 0.2796,                0.74022,                 2.2875,                0.82213,              0.0060202,              0.0060202,              0.0060202
                    204,                0.22697,                0.16905,                 0.7637,                0.54031,                0.28726,                0.33114,                0.27876,                0.73635,                 2.3264,                0.82274,              0.0060004,              0.0060004,              0.0060004
                    205,                0.22515,                0.16449,                0.76339,                 0.5449,                0.28121,                0.33625,                0.28778,                0.73498,                 2.2653,                0.82496,              0.0059806,              0.0059806,              0.0059806
                    206,                0.22141,                0.16099,                0.76239,                0.56857,                0.25809,                0.34742,                 0.2946,                0.72772,                 2.2138,                0.82273,              0.0059608,              0.0059608,              0.0059608
                    207,                0.22949,                 0.1672,                0.76149,                 0.5366,                0.27609,                0.33938,                0.28618,                0.73093,                 2.2447,                0.82299,               0.005941,               0.005941,               0.005941
                    208,                0.22353,                0.15989,                0.76321,                0.49591,                0.26868,                0.34441,                0.29143,                0.73054,                 2.2974,                0.82434,              0.0059212,              0.0059212,              0.0059212
                    209,                0.22276,                0.16162,                0.76474,                0.46685,                0.26204,                0.33076,                0.27912,                0.73703,                 2.3328,                0.82814,              0.0059014,              0.0059014,              0.0059014
                    210,                0.22278,                0.16017,                  0.763,                0.54131,                 0.2783,                0.32427,                0.27158,                 0.7298,                 2.2581,                0.82257,              0.0058816,              0.0058816,              0.0058816
                    211,                0.21976,                0.15853,                 0.7623,                0.59579,                 0.2872,                0.33797,                0.28507,                0.72598,                 2.2463,                0.82159,              0.0058618,              0.0058618,              0.0058618
                    212,                0.22148,                0.16244,                0.76256,                0.55903,                0.28909,                0.34798,                 0.2927,                 0.7285,                 2.2629,                0.82495,               0.005842,               0.005842,               0.005842
                    213,                0.21999,                0.15627,                0.76397,                0.57643,                0.28929,                0.33931,                0.28639,                0.72815,                 2.2578,                0.82624,              0.0058222,              0.0058222,              0.0058222
                    214,                0.22163,                0.15944,                0.76212,                0.55855,                  0.279,                0.33104,                0.28072,                0.73913,                 2.2654,                0.82321,              0.0058024,              0.0058024,              0.0058024
                    215,                0.21888,                0.15941,                0.76239,                0.55296,                0.27244,                0.32274,                0.27607,                0.73384,                  2.297,                0.82045,              0.0057826,              0.0057826,              0.0057826
                    216,                0.22047,                0.16463,                0.76428,                0.54127,                0.26359,                0.34603,                0.29167,                0.73815,                 2.2564,                0.82196,              0.0057628,              0.0057628,              0.0057628
                    217,                0.21755,                0.15447,                0.76262,                0.56931,                0.27966,                0.32633,                0.27603,                0.73602,                 2.3139,                0.82548,               0.005743,               0.005743,               0.005743
                    218,                 0.2204,                0.16356,                0.76311,                0.58754,                0.26569,                0.32999,                0.27651,                 0.7342,                 2.2892,                0.82546,              0.0057232,              0.0057232,              0.0057232
                    219,                0.21845,                0.16097,                0.76349,                0.57616,                0.27845,                0.33508,                0.28291,                0.73326,                 2.1927,                0.82583,              0.0057034,              0.0057034,              0.0057034
                    220,                0.22088,                0.15924,                0.76461,                0.53211,                0.28745,                0.34551,                0.29114,                0.72043,                 2.1605,                0.82116,              0.0056836,              0.0056836,              0.0056836
                    221,                  0.217,                0.15777,                0.76342,                0.51771,                0.29296,                0.35628,                0.30131,                0.72894,                 2.1953,                0.82277,              0.0056638,              0.0056638,              0.0056638
                    222,                0.21931,                0.15876,                0.76487,                0.57386,                0.28447,                0.33086,                0.27606,                0.72787,                 2.2527,                0.82463,               0.005644,               0.005644,               0.005644
                    223,                0.22101,                0.15821,                0.76481,                0.53597,                0.27174,                0.33435,                0.28202,                0.71829,                 2.2688,                0.82422,              0.0056242,              0.0056242,              0.0056242
                    224,                0.21351,                0.16088,                0.76156,                0.55112,                0.26597,                0.34473,                0.29254,                0.74198,                 2.2916,                0.82454,              0.0056044,              0.0056044,              0.0056044
                    225,                0.21418,                0.15363,                0.76283,                0.56518,                 0.2687,                0.33754,                0.28647,                0.73144,                 2.2759,                0.82427,              0.0055846,              0.0055846,              0.0055846
                    226,                0.20952,                0.15874,                0.76294,                0.53076,                0.29962,                0.34446,                0.29092,                0.73285,                 2.2849,                0.82518,              0.0055648,              0.0055648,              0.0055648
                    227,                0.21437,                0.15903,                0.76334,                0.59082,                0.30167,                0.34165,                 0.2892,                0.74117,                 2.2929,                0.82642,               0.005545,               0.005545,               0.005545
                    228,                0.21122,                0.15496,                0.76226,                 0.5867,                0.29768,                0.33487,                 0.2852,                0.73498,                 2.2986,                0.82398,              0.0055252,              0.0055252,              0.0055252
                    229,                 0.2125,                0.16085,                0.76287,                0.55454,                0.27105,                0.33634,                0.28649,                0.73061,                 2.2267,                 0.8212,              0.0055054,              0.0055054,              0.0055054
                    230,                0.20974,                0.15403,                0.76331,                0.57162,                0.28801,                0.33153,                0.27945,                0.73737,                 2.2471,                0.82001,              0.0054856,              0.0054856,              0.0054856
                    231,                 0.2134,                0.15516,                0.76413,                0.55125,                0.27938,                   0.32,                0.27148,                0.73039,                 2.2637,                0.82175,              0.0054658,              0.0054658,              0.0054658
                    232,                0.21144,                0.15433,                0.76286,                0.56729,                0.27079,                0.32359,                0.27307,                0.73731,                 2.2806,                0.82348,               0.005446,               0.005446,               0.005446
                    233,                 0.2127,                0.15455,                0.76244,                0.57824,                0.28167,                0.34135,                0.28483,                0.73672,                 2.2661,                0.82316,              0.0054262,              0.0054262,              0.0054262
                    234,                0.21279,                 0.1502,                0.76311,                0.55266,                0.28286,                0.33531,                0.28333,                0.72011,                 2.2248,                0.81876,              0.0054064,              0.0054064,              0.0054064
                    235,                0.20607,                0.14883,                0.76138,                0.49321,                0.26304,                0.33205,                0.28416,                0.72494,                 2.2935,                0.82266,              0.0053866,              0.0053866,              0.0053866
                    236,                0.21193,                0.15517,                0.76113,                0.49513,                0.26673,                0.32374,                0.27598,                0.72801,                 2.3137,                0.82352,              0.0053668,              0.0053668,              0.0053668
                    237,                 0.2051,                 0.1515,                0.76191,                0.53825,                0.27435,                0.31807,                0.27047,                0.72912,                 2.3428,                0.82366,               0.005347,               0.005347,               0.005347
                    238,                0.20718,                0.15471,                0.76255,                0.54278,                0.26887,                0.33226,                0.27966,                0.72832,                 2.3154,                0.82366,              0.0053272,              0.0053272,              0.0053272
                    239,                0.20525,                0.15108,                0.76206,                0.55878,                0.29435,                 0.3314,                0.28082,                0.72666,                 2.2785,                0.82236,              0.0053074,              0.0053074,              0.0053074
                    240,                0.20548,                0.14897,                0.76169,                0.56337,                0.28347,                 0.3433,                0.28836,                0.72633,                 2.2584,                0.82132,              0.0052876,              0.0052876,              0.0052876
                    241,                0.20808,                0.15222,                0.76217,                0.51314,                0.28943,                0.34385,                0.29034,                0.72895,                 2.3063,                0.82221,              0.0052678,              0.0052678,              0.0052678
                    242,                  0.207,                0.14944,                0.76351,                0.21443,                0.47381,                0.33117,                0.28081,                0.73048,                 2.3601,                0.82274,               0.005248,               0.005248,               0.005248
                    243,                0.20327,                 0.1463,                0.76232,                 0.5829,                0.27242,                0.32843,                0.27833,                0.72553,                 2.3499,                0.82224,              0.0052282,              0.0052282,              0.0052282
                    244,                0.20572,                0.15018,                0.76052,                0.55213,                 0.2883,                0.33637,                0.28663,                0.72092,                 2.2734,                0.81969,              0.0052084,              0.0052084,              0.0052084
                    245,                0.20551,                0.15004,                0.76218,                0.60208,                0.29449,                0.33405,                0.28103,                0.73391,                 2.2399,                0.82071,              0.0051886,              0.0051886,              0.0051886
                    246,                0.20502,                0.14551,                0.76249,                0.58408,                0.28483,                0.34163,                0.28791,                0.73434,                 2.2577,                0.82112,              0.0051688,              0.0051688,              0.0051688
                    247,                0.20598,                0.14829,                0.76139,                0.54754,                0.28337,                0.33754,                 0.2843,                0.73359,                    2.3,                0.82086,               0.005149,               0.005149,               0.005149
                    248,                0.20912,                0.14874,                0.76333,                0.47734,                0.35126,                0.34695,                0.29495,                0.73028,                 2.2742,                0.82006,              0.0051292,              0.0051292,              0.0051292
                    249,                0.20339,                0.14172,                 0.7633,                0.18651,                 0.5404,                0.34358,                0.29135,                0.73203,                 2.2626,                0.82166,              0.0051094,              0.0051094,              0.0051094
                    250,                0.20689,                0.14289,                0.76295,                0.60432,                0.27657,                 0.3443,                0.29016,                0.73854,                 2.2393,                  0.821,              0.0050896,              0.0050896,              0.0050896
                    251,                0.20298,                0.14617,                0.76175,                0.49919,                0.31807,                0.34474,                0.29172,                0.73829,                 2.2712,                0.82214,              0.0050698,              0.0050698,              0.0050698
                    252,                0.20621,                0.14541,                  0.762,                0.54335,                0.30322,                0.34258,                0.28988,                0.72975,                  2.243,                 0.8228,                0.00505,                0.00505,                0.00505
                    253,                0.20242,                0.14288,                0.76369,                0.56435,                0.29133,                0.34083,                0.28691,                0.73299,                 2.2916,                0.82294,              0.0050302,              0.0050302,              0.0050302
                    254,                0.20071,                0.14363,                0.76255,                0.40983,                0.42282,                  0.337,                0.28191,                0.72347,                 2.2448,                0.82119,              0.0050104,              0.0050104,              0.0050104
                    255,                0.20264,                0.14343,                0.76032,                0.52229,                0.27253,                0.33032,                0.28069,                0.73293,                 2.2221,                0.82442,              0.0049906,              0.0049906,              0.0049906
                    256,                0.20204,                0.14606,                0.76201,                0.53122,                0.28552,                0.33729,                0.28317,                0.73481,                 2.2115,                0.82507,              0.0049708,              0.0049708,              0.0049708
                    257,                0.20207,                0.14497,                0.76164,                0.57839,                0.28272,                0.33922,                0.28761,                0.72762,                 2.2831,                0.82238,               0.004951,               0.004951,               0.004951
                    258,                0.20457,                0.14336,                0.76088,                0.55335,                0.28297,                0.34221,                0.29152,                 0.7291,                   2.31,                0.82372,              0.0049312,              0.0049312,              0.0049312
                    259,                0.20319,                 0.1416,                0.76339,                0.45117,                0.36558,                0.34162,                0.29127,                0.73216,                 2.3097,                0.82392,              0.0049114,              0.0049114,              0.0049114
                    260,                0.20238,                0.14193,                 0.7621,                0.56376,                0.31742,                0.33768,                0.28655,                 0.7291,                 2.2452,                0.82188,              0.0048916,              0.0048916,              0.0048916
                    261,                0.19941,                0.14421,                  0.762,                0.50024,                0.27849,                0.34084,                 0.2865,                 0.7328,                 2.2247,                0.82111,              0.0048718,              0.0048718,              0.0048718
                    262,                0.19963,                0.14457,                0.76289,                 0.5803,                0.27709,                0.34033,                0.28674,                0.73525,                 2.2864,                0.82286,               0.004852,               0.004852,               0.004852
                    263,                0.19573,                0.14398,                0.76177,                0.20066,                 0.5246,                 0.3363,                0.28521,                0.73549,                 2.3424,                0.82339,              0.0048322,              0.0048322,              0.0048322
                    264,                0.19768,                0.14508,                0.76275,                0.19939,                0.50977,                0.33703,                0.28756,                0.73082,                 2.3378,                0.82296,              0.0048124,              0.0048124,              0.0048124
                    265,                0.19915,                 0.1376,                0.76259,                0.53719,                0.28049,                0.33118,                0.28082,                0.72467,                 2.2927,                0.82403,              0.0047926,              0.0047926,              0.0047926
                    266,                 0.1943,                0.13921,                0.76129,                0.60084,                0.27945,                0.33442,                0.28379,                0.73102,                 2.2685,                0.82506,              0.0047728,              0.0047728,              0.0047728
                    267,                0.19678,                0.14238,                0.76129,                0.54516,                0.27038,                0.34198,                0.28929,                0.72744,                 2.2428,                0.82221,               0.004753,               0.004753,               0.004753
                    268,                 0.2001,                0.14059,                0.76218,                0.26359,                0.49641,                0.33769,                0.28836,                0.72664,                 2.2478,                0.82124,              0.0047332,              0.0047332,              0.0047332
                    269,                0.19626,                 0.1382,                0.76078,                0.19508,                0.53246,                0.33733,                0.28859,                0.72669,                 2.2941,                0.82368,              0.0047134,              0.0047134,              0.0047134
                    270,                0.19969,                 0.1453,                0.76097,                0.54882,                0.26786,                0.33626,                0.28828,                0.72162,                 2.2899,                 0.8235,              0.0046936,              0.0046936,              0.0046936
                    271,                0.19604,                0.14232,                0.76171,                0.55742,                0.27385,                0.34186,                0.29156,                0.72965,                 2.2583,                0.82495,              0.0046738,              0.0046738,              0.0046738
                    272,                0.19563,                0.14142,                0.76137,                0.59493,                 0.2894,                0.34239,                 0.2909,                0.72984,                 2.2913,                0.82481,               0.004654,               0.004654,               0.004654
                    273,                0.19169,                0.13749,                0.76119,                0.40197,                0.32576,                0.34814,                0.29427,                0.73004,                 2.2818,                0.82497,              0.0046342,              0.0046342,              0.0046342
                    274,                0.19973,                0.13873,                0.76276,                0.24058,                0.47159,                0.35419,                0.30067,                0.73033,                 2.3017,                0.82488,              0.0046144,              0.0046144,              0.0046144
                    275,                0.19827,                0.13945,                0.76054,                0.46423,                0.34252,                0.34965,                0.29781,                0.72588,                 2.3034,                0.82357,              0.0045946,              0.0045946,              0.0045946
                    276,                 0.1948,                0.13706,                0.76212,                0.52179,                0.31688,                0.35283,                0.29908,                0.72876,                 2.2887,                0.82178,              0.0045748,              0.0045748,              0.0045748
                    277,                0.19343,                0.13895,                0.76245,                0.58021,                0.28486,                0.35247,                0.29932,                0.72076,                 2.2433,                0.82193,               0.004555,               0.004555,               0.004555
                    278,                0.19526,                0.13727,                0.76077,                0.53827,                0.29308,                0.33709,                0.28536,                0.72658,                 2.2706,                0.82132,              0.0045352,              0.0045352,              0.0045352
                    279,                0.19897,                0.13491,                0.76018,                0.56398,                0.28399,                0.33454,                0.28384,                0.73531,                 2.3094,                 0.8222,              0.0045154,              0.0045154,              0.0045154
                    280,                0.19748,                0.14077,                0.76083,                0.47025,                0.29342,                0.34416,                0.29085,                0.72938,                 2.3165,                0.82236,              0.0044956,              0.0044956,              0.0044956
                    281,                0.19465,                0.13833,                0.76301,                0.34785,                 0.4184,                0.33885,                0.28751,                0.71854,                  2.278,                0.82068,              0.0044758,              0.0044758,              0.0044758
                    282,                0.19556,                0.13615,                0.76208,                 0.4988,                0.31357,                0.33947,                0.28878,                0.72123,                 2.2727,                0.82187,               0.004456,               0.004456,               0.004456
                    283,                0.19344,                0.13761,                0.75984,                0.55393,                 0.2866,                0.34255,                0.29044,                0.72558,                 2.2556,                0.82345,              0.0044362,              0.0044362,              0.0044362
                    284,                0.18862,                0.13607,                0.76203,                0.57173,                0.28249,                0.34375,                0.29164,                0.72983,                 2.3409,                0.82395,              0.0044164,              0.0044164,              0.0044164
                    285,                0.19157,                0.13964,                0.76119,                0.49477,                0.32687,                0.34159,                0.29052,                0.73074,                 2.3573,                0.82443,              0.0043966,              0.0043966,              0.0043966
                    286,                0.19125,                0.13869,                0.76243,                0.28692,                0.42459,                0.33653,                0.28727,                0.72657,                  2.339,                0.82424,              0.0043768,              0.0043768,              0.0043768
                    287,                0.19004,                0.13634,                0.76243,                0.45512,                0.32133,                0.33105,                0.28145,                0.72649,                 2.3303,                0.82375,               0.004357,               0.004357,               0.004357
                    288,                0.19096,                0.13437,                0.76294,                0.18827,                0.51475,                0.33733,                0.28685,                 0.7177,                 2.3045,                 0.8222,              0.0043372,              0.0043372,              0.0043372
                    289,                0.19199,                0.13336,                 0.7614,                0.55449,                0.26903,                0.34268,                0.28884,                0.72111,                 2.2856,                0.82354,              0.0043174,              0.0043174,              0.0043174
                    290,                0.19182,                0.13214,                0.76183,                0.57632,                0.27146,                0.33158,                0.28045,                0.72439,                 2.3186,                0.82182,              0.0042976,              0.0042976,              0.0042976
                    291,                0.19326,                0.13531,                0.75925,                0.52627,                0.26365,                0.32571,                0.27749,                0.72358,                 2.3271,                0.82207,              0.0042778,              0.0042778,              0.0042778
                    292,                0.19175,                0.13444,                0.76276,                0.18657,                 0.5252,                0.33127,                0.27995,                0.73391,                 2.3397,                 0.8242,               0.004258,               0.004258,               0.004258
                    293,                0.19063,                0.13919,                0.76131,                0.19477,                 0.5137,                0.33338,                 0.2845,                0.72895,                 2.3394,                0.82178,              0.0042382,              0.0042382,              0.0042382
                    294,                 0.1931,                0.13191,                0.76169,                 0.3368,                 0.4717,                0.33402,                0.28295,                0.73608,                 2.3944,                0.82264,              0.0042184,              0.0042184,              0.0042184
                    295,                0.18931,                0.13342,                0.76147,                0.54044,                0.29086,                0.32026,                0.27184,                0.72544,                 2.3571,                0.82095,              0.0041986,              0.0041986,              0.0041986
                    296,                0.19101,                0.13324,                0.76199,                0.53002,                0.27573,                0.32452,                0.27544,                0.73174,                 2.3614,                 0.8231,              0.0041788,              0.0041788,              0.0041788
                    297,                0.18993,                0.12752,                0.76142,                0.47112,                0.37396,                0.33523,                0.28559,                0.72964,                 2.3351,                0.82187,               0.004159,               0.004159,               0.004159
                    298,                0.19093,                0.13408,                 0.7621,                0.50704,                0.26994,                0.32614,                0.27883,                0.72373,                 2.3055,                0.82012,              0.0041392,              0.0041392,              0.0041392
                    299,                0.18951,                0.13595,                0.76197,                0.50097,                0.26736,                0.34127,                0.29021,                0.73112,                 2.2946,                0.82116,              0.0041194,              0.0041194,              0.0041194
                    300,                0.18961,                0.13416,                0.76038,                0.20107,                 0.5133,                0.34103,                0.28915,                0.71844,                 2.3472,                0.82221,              0.0040996,              0.0040996,              0.0040996
                    301,                0.18996,                0.12935,                0.76097,                0.19642,                0.50949,                0.32989,                0.27972,                0.72435,                 2.3771,                0.82419,              0.0040798,              0.0040798,              0.0040798
                    302,                0.18865,                0.13201,                0.76115,                0.19752,                0.50532,                0.33648,                0.28633,                0.72363,                  2.336,                0.82169,                0.00406,                0.00406,                0.00406
                    303,                0.19147,                0.13191,                0.76059,                0.20045,                0.51641,                0.33589,                0.28512,                0.72696,                 2.3392,                0.82135,              0.0040402,              0.0040402,              0.0040402
                    304,                0.19001,                0.13405,                 0.7595,                0.32999,                0.46409,                0.32534,                0.27616,                 0.7267,                 2.3412,                0.82201,              0.0040204,              0.0040204,              0.0040204
                    305,                0.18714,                0.13251,                0.76105,                0.54263,                0.29691,                0.32902,                0.27943,                0.72724,                 2.3441,                0.82376,              0.0040006,              0.0040006,              0.0040006
                    306,                0.18577,                 0.1294,                0.76102,                0.59148,                0.28929,                0.32818,                0.27906,                0.72305,                 2.3129,                0.82225,              0.0039808,              0.0039808,              0.0039808
                    307,                0.18743,                0.12992,                0.76097,                 0.4827,                0.30128,                0.33118,                0.28261,                0.73049,                 2.3776,                0.82373,               0.003961,               0.003961,               0.003961
                    308,                0.18765,                 0.1322,                 0.7604,                0.19841,                0.49981,                0.33601,                 0.2847,                0.72623,                 2.4069,                 0.8244,              0.0039412,              0.0039412,              0.0039412
                    309,                0.18966,                0.13427,                0.76066,                0.43453,                0.34999,                0.33148,                0.28053,                 0.7285,                 2.3906,                0.82317,              0.0039214,              0.0039214,              0.0039214
                    310,                0.18622,                0.13039,                0.76172,                0.51379,                0.32763,                0.32632,                0.27725,                0.72266,                 2.3733,                0.82114,              0.0039016,              0.0039016,              0.0039016
                    311,                0.18389,                0.13154,                0.76112,                0.55154,                0.27469,                0.32686,                0.27571,                0.72675,                 2.3699,                0.82271,              0.0038818,              0.0038818,              0.0038818
                    312,                0.18714,                0.12937,                0.76182,                  0.541,                0.30421,                0.32437,                0.27494,                0.72265,                 2.3237,                0.82213,               0.003862,               0.003862,               0.003862
