                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50708,                0.55236,                0.79029,                0.55445,                0.30043,                0.32661,                0.26445,                0.80288,                 2.0067,                0.83743,              0.0093268,              0.0093268,              0.0093268
                     37,                0.52834,                0.53066,                0.78977,                0.52444,                0.33602,                0.37009,                0.30307,                0.81901,                 1.8754,                0.82935,               0.009307,               0.009307,               0.009307
                     38,                0.52329,                0.51997,                0.79048,                0.53224,                0.29271,                0.34236,                0.27485,                0.84176,                 2.2437,                0.83784,              0.0092872,              0.0092872,              0.0092872
                     39,                0.50042,                 0.5082,                0.78648,                0.55187,                0.33707,                 0.3536,                 0.2868,                0.82516,                 1.9357,                 0.8373,              0.0092674,              0.0092674,              0.0092674
                     40,                0.49363,                 0.4926,                0.78972,                0.46442,                0.35637,                0.33989,                0.27827,                 0.8246,                 2.0165,                0.84086,              0.0092476,              0.0092476,              0.0092476
                     41,                0.48641,                0.46763,                0.78867,                0.46157,                0.38421,                0.34629,                 0.2697,                 0.8586,                 1.9888,                 0.8408,              0.0092278,              0.0092278,              0.0092278
                     42,                0.48643,                0.45735,                0.78842,                0.44366,                0.35117,                  0.326,                0.26568,                 0.8241,                 2.1371,                0.83072,               0.009208,               0.009208,               0.009208
                     43,                  0.485,                0.45542,                0.78544,                0.46404,                0.35892,                0.35609,                0.28828,                0.80552,                 1.9213,                0.83267,              0.0091882,              0.0091882,              0.0091882
                     44,                0.48007,                0.43983,                0.78682,                0.47995,                0.33753,                0.34515,                0.27404,                0.82655,                 2.1061,                0.83646,              0.0091684,              0.0091684,              0.0091684
                     45,                0.45882,                0.42796,                0.78437,                0.41154,                0.30071,                 0.3053,                0.24797,                0.80872,                 2.2896,                0.83341,              0.0091486,              0.0091486,              0.0091486
                     46,                0.46458,                0.42901,                 0.7845,                0.57494,                0.30516,                0.34053,                0.27422,                0.80708,                 1.9708,                0.83269,              0.0091288,              0.0091288,              0.0091288
                     47,                0.45785,                0.42082,                0.78512,                 0.4743,                0.34255,                0.33209,                0.27494,                0.82796,                  2.007,                 0.8364,               0.009109,               0.009109,               0.009109
                     48,                0.43987,                0.40645,                0.78054,                0.45518,                 0.3429,                0.32343,                0.26566,                0.78202,                 2.0441,                0.83352,              0.0090892,              0.0090892,              0.0090892
                     49,                0.44754,                0.39711,                0.78461,                0.45378,                0.34982,                0.33924,                0.27496,                0.82357,                 2.0056,                0.83459,              0.0090694,              0.0090694,              0.0090694
                     50,                 0.4517,                0.39092,                0.78293,                0.57193,                0.32207,                0.34343,                0.28032,                0.80495,                 2.0429,                 0.8292,              0.0090496,              0.0090496,              0.0090496
                     51,                0.43596,                0.38338,                0.78144,                0.55666,                0.32362,                0.34135,                0.27959,                0.79823,                 1.9972,                0.83414,              0.0090298,              0.0090298,              0.0090298
                     52,                0.44183,                0.38241,                0.77985,                0.53785,                0.33556,                0.34169,                0.28524,                0.77203,                  2.025,                0.82896,                0.00901,                0.00901,                0.00901
                     53,                0.42262,                0.36492,                 0.7821,                0.55147,                 0.3628,                0.34465,                0.28816,                0.76184,                 2.0076,                0.83119,              0.0089902,              0.0089902,              0.0089902
                     54,                0.41229,                0.36048,                0.78214,                0.57809,                0.32031,                0.35098,                0.29498,                0.76583,                 1.9876,                0.82833,              0.0089704,              0.0089704,              0.0089704
                     55,                0.40207,                0.35051,                0.77985,                0.47079,                0.34212,                0.35285,                 0.2862,                0.79727,                 2.0848,                0.82948,              0.0089506,              0.0089506,              0.0089506
                     56,                0.41662,                0.34878,                0.77994,                0.65072,                0.31251,                0.33962,                0.27926,                0.80548,                 2.1129,                0.82996,              0.0089308,              0.0089308,              0.0089308
                     57,                0.41965,                0.35164,                0.77826,                0.55231,                0.33415,                0.35636,                0.29609,                0.79659,                 2.1729,                0.83337,               0.008911,               0.008911,               0.008911
                     58,                0.42239,                 0.3455,                0.77721,                0.48963,                0.32248,                0.34168,                0.28468,                0.77786,                 2.1018,                0.83302,              0.0088912,              0.0088912,              0.0088912
                     59,                0.39008,                0.33439,                0.77852,                0.49881,                0.35878,                0.34782,                0.29248,                0.76917,                 1.9784,                0.82758,              0.0088714,              0.0088714,              0.0088714
                     60,                0.40829,                0.32948,                0.77819,                0.54632,                0.34263,                0.33859,                0.27843,                 0.7885,                 2.0219,                0.83093,              0.0088516,              0.0088516,              0.0088516
                     61,                0.40129,                0.32785,                0.77516,                0.52823,                0.31447,                 0.3381,                0.27744,                0.78417,                  2.074,                0.82841,              0.0088318,              0.0088318,              0.0088318
                     62,                0.40587,                0.32214,                0.77808,                0.47388,                0.31296,                0.32579,                0.27033,                0.78678,                 2.2568,                0.82752,               0.008812,               0.008812,               0.008812
                     63,                0.39197,                0.32239,                0.77746,                0.46879,                0.34154,                 0.3472,                0.29017,                0.79007,                 2.0217,                0.82672,              0.0087922,              0.0087922,              0.0087922
                     64,                0.39182,                0.31247,                 0.7743,                0.52463,                0.32417,                0.33641,                0.28017,                0.76779,                 2.0225,                0.82972,              0.0087724,              0.0087724,              0.0087724
                     65,                0.38985,                0.30719,                0.77579,                0.45284,                0.32162,                0.34108,                0.28303,                0.78742,                 2.0034,                0.82975,              0.0087526,              0.0087526,              0.0087526
                     66,                0.38942,                0.30835,                0.77535,                0.49932,                0.35211,                0.36545,                0.30533,                0.77872,                 1.9749,                0.83547,              0.0087328,              0.0087328,              0.0087328
                     67,                0.37515,                0.30098,                0.77546,                0.58605,                0.33151,                0.36731,                0.30027,                0.79502,                 1.9916,                0.82984,               0.008713,               0.008713,               0.008713
                     68,                0.37309,                0.30512,                0.77614,                0.51755,                0.33112,                0.35632,                0.29868,                0.77255,                 2.1641,                0.82922,              0.0086932,              0.0086932,              0.0086932
                     69,                0.36972,                0.30408,                0.77562,                0.53861,                0.36029,                0.34771,                0.29098,                0.76693,                 2.0665,                0.83295,              0.0086734,              0.0086734,              0.0086734
                     70,                0.38171,                0.30545,                0.77552,                0.48959,                0.34698,                0.35187,                0.29073,                0.77567,                 1.9787,                  0.826,              0.0086536,              0.0086536,              0.0086536
                     71,                0.36111,                 0.2851,                0.77428,                0.53239,                0.33754,                0.36019,                0.30025,                0.75053,                 2.0212,                0.82914,              0.0086338,              0.0086338,              0.0086338
                     72,                0.36289,                0.28664,                0.77592,                0.53044,                0.32491,                0.34757,                0.29062,                0.75599,                 2.1611,                0.82867,               0.008614,               0.008614,               0.008614
                     73,                0.36266,                0.28271,                0.77744,                   0.51,                0.33166,                0.32861,                0.27413,                0.77359,                 2.1781,                0.83214,              0.0085942,              0.0085942,              0.0085942
                     74,                0.35684,                0.28876,                0.77461,                0.49005,                0.33684,                0.35809,                0.30489,                0.75317,                 2.0067,                0.82678,              0.0085744,              0.0085744,              0.0085744
                     75,                0.35569,                0.27587,                0.77445,                 0.5438,                0.31759,                0.34715,                0.29126,                0.75862,                 2.1052,                0.82359,              0.0085546,              0.0085546,              0.0085546
                     76,                0.35478,                0.28164,                0.77223,                0.54855,                0.29484,                0.34802,                0.29321,                0.74957,                 2.0831,                0.82652,              0.0085348,              0.0085348,              0.0085348
                     77,                0.35258,                 0.2723,                0.77283,                0.55509,                0.27392,                0.32646,                0.27356,                0.76536,                  2.204,                0.82964,               0.008515,               0.008515,               0.008515
                     78,                0.35889,                0.27049,                0.77401,                0.54488,                0.29884,                0.33945,                0.28686,                0.76298,                 2.0977,                 0.8295,              0.0084952,              0.0084952,              0.0084952
                     79,                0.35185,                0.26995,                0.77239,                0.58141,                 0.3212,                0.34926,                0.29057,                0.78406,                 2.1346,                0.82991,              0.0084754,              0.0084754,              0.0084754
                     80,                0.34912,                0.27684,                0.77418,                0.49642,                0.31089,                0.35153,                0.29258,                  0.758,                 2.0455,                0.82949,              0.0084556,              0.0084556,              0.0084556
                     81,                0.35109,                0.26255,                0.77279,                 0.5176,                 0.3179,                0.34392,                 0.2839,                0.78245,                  1.991,                0.82616,              0.0084358,              0.0084358,              0.0084358
                     82,                0.34523,                0.26413,                0.77344,                0.49632,                0.29545,                0.31892,                0.25905,                0.77537,                 2.2134,                0.83125,               0.008416,               0.008416,               0.008416
                     83,                0.34541,                0.25888,                0.77436,                0.49608,                0.30875,                0.34357,                0.28614,                0.76339,                 2.1151,                0.82563,              0.0083962,              0.0083962,              0.0083962
